Node,to_Node,distance
Moray Firth,Firth of Forth,211.8534350769104
Moray Firth,Dogger Bank,500.36311198834716
Firth of Forth,Dogger Bank,327.73253868424405
Moray Firth,Hornsea,576.5783814991162
Firth of Forth,Hornsea,380.74163389534914
Dogger Bank,Hornsea,118.13127054682693
Moray Firth,Outer Dowsing,600.5231507661583
Firth of Forth,Outer Dowsing,393.6503082576527
Dogger Bank,Outer Dowsing,195.24214898399325
Hornsea,Outer Dowsing,84.99523266145053
Moray Firth,Norfolk,689.7824666116796
Firth of Forth,Norfolk,487.9870336470004
Dogger Bank,Norfolk,230.35929016238032
Hornsea,Norfolk,118.46659493495402
Outer Dowsing,Norfolk,104.12510002802348
Moray Firth,East Anglia,773.6869477363546
Firth of Forth,East Anglia,566.4640885420121
Dogger Bank,East Anglia,331.76433938438606
Hornsea,East Anglia,216.76838288596576
Outer Dowsing,East Anglia,173.180667988704
Norfolk,East Anglia,102.15365450092688
Moray Firth,Borssele,804.096720639417
Firth of Forth,Borssele,603.9898794392485
Dogger Bank,Borssele,327.6343696740021
Hornsea,Borssele,228.19197064511204
Outer Dowsing,Borssele,218.17084119973808
Norfolk,Borssele,116.42603019619742
East Anglia,Borssele,91.46925424224034
Moray Firth,Hollandsee Kust,781.9599197178321
Firth of Forth,Hollandsee Kust,590.9417362690709
Dogger Bank,Hollandsee Kust,288.14310985797306
Hornsea,Hollandsee Kust,210.77368704164437
Outer Dowsing,Hollandsee Kust,231.10379619939616
Norfolk,Hollandsee Kust,130.53733557925278
East Anglia,Hollandsee Kust,159.94504677765514
Borssele,Hollandsee Kust,79.47352751897245
Moray Firth,Helgoländer Bucht,766.0279578225872
Firth of Forth,Helgoländer Bucht,631.2504911490616
Dogger Bank,Helgoländer Bucht,319.2653077980718
Hornsea,Helgoländer Bucht,354.7520145329377
Outer Dowsing,Helgoländer Bucht,430.0570217755825
Norfolk,Helgoländer Bucht,374.97088972024596
East Anglia,Helgoländer Bucht,447.9978058266949
Borssele,Helgoländer Bucht,375.7750257504923
Hollandsee Kust,Helgoländer Bucht,296.30552679227685
Moray Firth,Nordsøen,645.067889779881
Firth of Forth,Nordsøen,565.7188892026956
Dogger Bank,Nordsøen,339.198930250629
Hornsea,Nordsøen,432.2903618562382
Outer Dowsing,Nordsøen,517.2838607805563
Norfolk,Nordsøen,503.2637091444538
East Anglia,Nordsøen,596.7108953929608
Borssele,Nordsøen,545.0904913290441
Hollandsee Kust,Nordsøen,470.1930488469492
Helgoländer Bucht,Nordsøen,218.61895966288358
Moray Firth,Energyhub EU,638.3575500827425
Firth of Forth,Energyhub EU,509.86640440364897
Dogger Bank,Energyhub EU,216.87595047055714
Hornsea,Energyhub EU,286.5279657379554
Outer Dowsing,Energyhub EU,370.28874088464596
Norfolk,Energyhub EU,345.50562972691813
East Anglia,Energyhub EU,437.19154949196087
