Node,GeneratorTechnology,area_km2,generatorMaxInstallCapacity in MW
Moray Firth,Wind_offshr_grounded,1093.0,3825.5
Firth of Forth,Wind_offshr_grounded,2106.0,7371.0
Dogger Bank,Wind_offshr_grounded,3252.0,11382.0
Hornsea,Wind_offshr_grounded,2411.0,8438.5
Outer Dowsing,Wind_offshr_grounded,1253.0,4385.5
Norfolk,Wind_offshr_grounded,1626.0,5691.0
East Anglia,Wind_offshr_grounded,1351.0,4728.5
Borssele,Wind_offshr_grounded,976.3833333333333,3417.3416666666667
Hollandsee Kust,Wind_offshr_grounded,1332.8333333333333,4664.916666666666
Helgoländer Bucht,Wind_offshr_grounded,4582.125,16037.4375
Nordsøen,Wind_offshr_grounded,4022.0,14077.0
Moray Firth,Wind_offshr_floating,2329.0,8151.5
Firth of Forth,Wind_offshr_floating,5549.0,19421.5
Nordvest A,Wind_offshr_floating,11307.0,39574.5
Nordvest C,Wind_offshr_floating,5582.0,19537.0
Vestavind A,Wind_offshr_floating,1884.0,6594.0
Sønnavind A,Wind_offshr_floating,2900.0,10150.0
Sørvest C,Wind_offshr_grounded,1766.0,6181.0
Nordvest B,Wind_offshr_floating,3437.0,12029.5
Vestavind F,Wind_offshr_floating,1989.0,6961.5
Vestavind B,Wind_offshr_floating,2985.0,10447.5
Vestavind C,Wind_offshr_floating,1064.0,3724.0
Vestavind D,Wind_offshr_floating,734.0,2569.0
Sørvest F,Wind_offshr_grounded,2702.0,9457.0
Sørvest B,Wind_offshr_grounded,2179.0,7626.5
Nordavind B,Wind_offshr_floating,2239.0,7836.5
Nordavind A,Wind_offshr_floating,4275.0,14962.5
Nordavind D,Wind_offshr_floating,4112.0,14392.0
Nordavind C,Wind_offshr_floating,1054.0,3689.0
Vestavind E,Wind_offshr_floating,1475.0,5162.5
Sørvest E,Wind_offshr_floating,1016.0,3556.0
Sørvest A,Wind_offshr_floating,1456.0,5096.0
Sørvest D,Wind_offshr_floating,1215.0,4252.5
Sørvest E,Wind_offshr_grounded,1016.0,3556.0
Sørvest A,Wind_offshr_grounded,1456.0,5096.0
Sørvest D,Wind_offshr_grounded,1215.0,4252.5
