newOnshoreNode,Latitude,Longitude,fromNode,toNode,dist
Moray Firth-Great Brit.,58.33015300000003,-3.1851529999999424,Moray Firth,Great Brit.,20.780646036182514
Firth of Forth-Great Brit.,56.28910000000012,-2.6046179999998955,Firth of Forth,Great Brit.,35.56680378770196
Dogger Bank-Great Brit.,54.130481943,-0.1050434659999246,Dogger Bank,Great Brit.,180.20559841990445
Hornsea-Great Brit.,52.94701770400006,1.2057646100001385,Hornsea,Great Brit.,107.98594881868662
Outer Dowsing-Great Brit.,52.98091800000013,0.7730560000001101,Outer Dowsing,Great Brit.,37.875607407291625
Norfolk-Great Brit.,52.73890931600004,1.6793258910001383,Norfolk,Great Brit.,33.28577624294245
East Anglia-Great Brit.,52.101286705000106,1.586886233000091,East Anglia,Great Brit.,31.01042755422096
Borssele-Belgium,51.35486221400009,3.1730558870000865,Borssele,Belgium,67.8393559409985
Borssele-Netherlands,51.70458200000006,3.678612000000102,Borssele,Netherlands,44.04888305128017
Hollandsee Kust-Netherlands,52.29402923500009,4.468609811000137,Hollandsee Kust,Netherlands,36.43067833876378
Helgoländer Bucht-Netherlands,53.54264100000017,6.577498999999994,Helgoländer Bucht,Netherlands,96.75377376131729
Helgoländer Bucht-Germany,54.19180700000003,7.865277000000048,Helgoländer Bucht,Germany,48.34222225573601
Nordsøen-Denmark,56.18707300000015,8.124695000000148,Nordsøen,Denmark,68.6921804432666
Nordvest A-NO4,66.01249700000005,11.685416000000146,Nordvest A,NO4,99.99295484452713
Nordvest C-NO3,63.4484410000001,7.7942710000001,Nordvest C,NO3,69.06891345949673
Vestavind A-NO3,61.84739300000012,4.839063000000073,Vestavind A,NO3,61.627980881149604
Sønnavind A-NO2,57.96097200000013,7.499722000000078,Sønnavind A,NO2,50.80259785131871
Sørvest C-NO2,58.42430499999999,5.8980550000001735,Sørvest C,NO2,199.5026697213464
Nordvest B-NO3,63.8859410000001,8.524479000000158,Nordvest B,NO3,112.47948027715819
Vestavind F-NO2,59.28208200000005,4.850277001000057,Vestavind F,NO2,20.823648742634166
Sørvest E-NO2,58.42541500000003,5.8980550000001735,Sørvest E,NO2,129.32719560312736
Sørvest A-NO2,58.53597300000013,5.696944000000031,Sørvest A,NO2,147.33599961469636
Vestavind B-NO3,61.03593400000011,4.508854000000042,Vestavind B,NO3,49.31277127253777
Vestavind C-NO5,60.183857000000046,3.9078120000001526,Vestavind C,NO5,27.932524933533447
Vestavind D-NO5,60.3276060000001,4.901563000000182,Vestavind D,NO5,29.041519791963495
Sørvest F-NO2,58.07125100000001,6.650277000000187,Sørvest F,NO2,178.58740175332332
Sørvest B-NO2,58.422359000000135,5.89138800000012,Sørvest B,NO2,195.25165199493097
Nordavind B-NO4,71.1213530000001,27.63489500000014,Nordavind B,NO4,74.01604039984466
Nordavind A-NO4,70.54531097400013,30.58802032500006,Nordavind A,NO4,82.89025447125819
Nordavind D-NO4,70.28073100000017,19.59218800000008,Nordavind D,NO4,135.05754248151626
Nordavind C-NO4,70.65468600000021,21.944271000000185,Nordavind C,NO4,139.91399677126037
Vestavind E-NO2,59.28208200000005,4.850277001000057,Vestavind E,NO2,61.196428464082956
Sørvest D-NO2,58.070694000000096,6.647501000000034,Sørvest D,NO2,250.69047026888217
Energyhub EU-NO2,57.98485899999996,7.066944000000035,Energyhub EU,NO2,341.6498082043417
Energyhub EU-Great Brit.,52.848407780000045,1.4903464720000588,Energyhub EU,Great Brit.,377.72177644656153
Energyhub EU-Denmark,55.552639000000106,8.096944000000123,Energyhub EU,Denmark,165.2764772792744
Energyhub EU-Netherlands,53.502082826000105,6.163053989000106,Energyhub EU,Netherlands,180.5922470422403
Energyhub EU-Belgium,51.50009536700007,4.763122081000123,Energyhub EU,Belgium,410.6120272060444
Energyhub North-NO2,59.28208200000005,4.850277001000057,Energyhub North,NO2,223.86555334677215
Energyhub North-Great Brit.,57.62147500000008,-1.8491669999999596,Energyhub North,Great Brit.,218.62740279824453
Energyhub North-Denmark,56.79875200000014,8.233610000000171,Energyhub North,Denmark,453.03319401557195
Energyhub North-Netherlands,53.38263702400007,5.18361187000011,Energyhub North,Netherlands,621.191248154473
Energyhub North-Belgium,51.35319519100005,3.168612004000066,Energyhub North,Belgium,813.9152045409429
Energyhub Central-NO2,58.070694000000096,6.64861100000019,Energyhub Central,NO2,309.27851705161476
Energyhub Central-Great Brit.,54.48869658000006,-0.5930560239999619,Energyhub Central,Great Brit.,308.9928221919191
Energyhub Central-Denmark,56.010418,8.109167000000184,Energyhub Central,Denmark,305.970500058543
Energyhub Central-Netherlands,53.38236236600004,5.183055877000075,Energyhub Central,Netherlands,327.5645320266778
Energyhub Central-Belgium,51.47111511200005,4.44281291900012,Energyhub Central,Belgium,526.9857228615839
