Node,to_Node,distance
Moray Firth,Firth of Forth,215.66724000697232
Moray Firth,Dogger Bank,509.37069453063407
Firth of Forth,Dogger Bank,333.6324098443313
Moray Firth,Hornsea,586.9579982994298
Firth of Forth,Hornsea,387.59577963956497
Dogger Bank,Hornsea,120.25788049224701
Moray Firth,Outer Dowsing,611.3338234945795
Firth of Forth,Outer Dowsing,400.73683713932223
Dogger Bank,Outer Dowsing,198.75691602131184
Hornsea,Outer Dowsing,86.52532461978163
Moray Firth,Norfolk,702.1999937142205
Firth of Forth,Norfolk,496.7718208941535
Dogger Bank,Norfolk,234.50623918960713
Hornsea,Norfolk,120.59924142070278
Outer Dowsing,Norfolk,105.99956960972227
Moray Firth,East Anglia,787.6149309882205
Firth of Forth,East Anglia,576.6616269147095
Dogger Bank,East Anglia,337.7367913897244
Hornsea,East Anglia,220.67066715637148
Outer Dowsing,East Anglia,176.29828222576822
Norfolk,East Anglia,103.99263393979243
Moray Firth,Borssele,818.5721434066141
Firth of Forth,Borssele,614.8629605345664
Dogger Bank,Borssele,333.53247358658115
Hornsea,Borssele,232.2999033880054
Outer Dowsing,Borssele,222.09837265308104
Norfolk,Borssele,118.52194224873789
East Anglia,Borssele,93.11589212966237
Moray Firth,Hollandsee Kust,796.0368337685674
Firth of Forth,Hollandsee Kust,601.5799234966896
Dogger Bank,Hollandsee Kust,293.3302884965482
Hornsea,Hollandsee Kust,214.56805424874173
Outer Dowsing,Hollandsee Kust,235.264147892449
Norfolk,Hollandsee Kust,132.88728064296424
East Anglia,Hollandsee Kust,162.82439215016777
Borssele,Hollandsee Kust,80.9042172359045
Moray Firth,Helgoländer Bucht,779.8180632369669
Firth of Forth,Helgoländer Bucht,642.6143202716544
Dogger Bank,Helgoländer Bucht,325.012751092706
Hornsea,Helgoländer Bucht,361.1382927704558
Outer Dowsing,Helgoländer Bucht,437.7989476464565
Norfolk,Helgoländer Bucht,381.72114999960195
East Anglia,Helgoländer Bucht,456.06270333425005
Borssele,Helgoländer Bucht,382.5397621602706
Hollandsee Kust,Helgoländer Bucht,301.63964600764257
Moray Firth,Nordsøen,656.6804609773885
Firth of Forth,Nordsøen,575.9030124286755
Dogger Bank,Nordsøen,345.30522044125985
Hornsea,Nordsøen,440.0724925196709
Outer Dowsing,Nordsøen,526.5960521914255
Norfolk,Nordsøen,512.3235085022484
East Anglia,Nordsøen,607.4529395512023
Borssele,Nordsøen,554.9032602483013
Hollandsee Kust,Nordsøen,478.6575071509759
Helgoländer Bucht,Nordsøen,222.55455818581822
