Node,GeneratorTechnology,area_km2,generatorMaxInstallCapacity in MW
Moray Firth,Wind_offshr_grounded,1093.0,8197.5
Firth of Forth,Wind_offshr_grounded,2106.0,15795.0
Dogger Bank,Wind_offshr_grounded,3252.0,24390.0
Hornsea,Wind_offshr_grounded,2411.0,18082.5
Outer Dowsing,Wind_offshr_grounded,1253.0,9397.5
Norfolk,Wind_offshr_grounded,1626.0,12195.0
East Anglia,Wind_offshr_grounded,1351.0,10132.5
Borssele,Wind_offshr_grounded,976.3833333333333,7322.875
Hollandsee Kust,Wind_offshr_grounded,1332.8333333333333,9996.25
Helgoländer Bucht,Wind_offshr_grounded,4582.125,34365.9375
Nordsøen,Wind_offshr_grounded,4022.0,30165.0
Moray Firth,Wind_offshr_floating,2329.0,17467.5
Firth of Forth,Wind_offshr_floating,5549.0,41617.5
Nordvest A,Wind_offshr_floating,11307.0,84802.5
Nordvest C,Wind_offshr_floating,5582.0,41865.0
Vestavind A,Wind_offshr_floating,1884.0,14130.0
Sønnavind A,Wind_offshr_floating,2900.0,21750.0
Sørvest C,Wind_offshr_grouned,1766.0,13245.0
Nordvest B,Wind_offshr_floating,3437.0,25777.5
Vestavind F,Wind_offshr_floating,1989.0,14917.5
Vestavind B,Wind_offshr_floating,2985.0,22387.5
Vestavind C,Wind_offshr_floating,1064.0,7980.0
Vestavind D,Wind_offshr_floating,734.0,5505.0
Sørvest F,Wind_offshr_grouned,2702.0,20265.0
Sørvest B,Wind_offshr_grouned,2179.0,16342.5
Nordavind B,Wind_offshr_floating,2239.0,16792.5
Nordavind A,Wind_offshr_floating,4275.0,32062.5
Nordavind D,Wind_offshr_floating,4112.0,30840.0
Nordavind C,Wind_offshr_floating,1054.0,7905.0
Vestavind E,Wind_offshr_floating,1475.0,11062.5
Sørvest E,Wind_offshr_floating,1016.0,7620.0
Sørvest A,Wind_offshr_floating,1456.0,10920.0
Sørvest D,Wind_offshr_floating,1215.0,9112.5
Sørvest E,Wind_offshr_grouned,1016.0,7620.0
Sørvest A,Wind_offshr_grouned,1456.0,10920.0
Sørvest D,Wind_offshr_grouned,1215.0,9112.5
