Period,genInstalledCap_MW
,Liginiteexisting,Lignite,LigniteCCSadv,Coalexisting,Coal,CoalCCSadv,Gasexisting,GasOCGT,GasCCGT,GasCCSadv,Oilexisting,Bioexisting,Bio10cofiring,Nuclear,Wave,Geo,Hydroregulated,Hydrorun-of-the-river,Bio,Windonshore,Windoffshoregrounded,Windoffshorefloating,Solar,Bio10cofiringCCS,LigniteCCSsup,CoalCCS,GasCCS,Waste
Initial,61315.0,0.0,0.0,71229.0,0.0,0.0,222718.99999999997,0.0,0.0,0.0,16049.0,34841.0,0.0,117634.0,243.0,937.0,98787.0,66582.0,0.0,190579.875,23904.559999999998,30.0,153954.0,0.0,0.0,0.0,0.0,10282.0
2020-2025,61315.0,28751.02127578476,0.0,71229.0,0.019660243839543505,0.0,222718.99999999997,0.013709184604499576,1960.9796995151428,0.0,16049.0,34841.0,12385.559511917085,117634.00134663486,243.0001395537832,937.0012769042218,98787.00026501383,74558.57205035209,0.00257169469050968,240802.11977364123,23904.568103695306,30.003363396162737,188111.47821409252,0.0,0.0,0.0,0.0,11271.84993382654
2025-2030,37732.307692307695,28751.021337434013,0.0,43833.23076923077,0.02220691702139374,0.0,152048.5480769231,9620.623513726941,146515.40853974802,0.0,8916.111111111117,24886.428571428572,12385.568657743248,84024.2885506757,243.00013946702865,1329.4022423015329,98787.00027513421,92070.06897965186,0.0029169847317616197,595689.5610314179,23904.56811691376,30.00476062147763,315184.6933791747,0.0,0.0,0.0,0.0,11271.849941675813
2030-2035,25351.39423076923,28751.02174764212,0.0,29450.451923076922,0.022639073223303777,0.0,94227.26923076923,92899.21361733852,199844.98088445602,0.0,5349.666666666669,19909.14285714286,12385.569168927086,67219.43223759142,243.00111250981575,1586.4003993169222,99089.16531278008,107404.7369555771,0.0067498550540145,874124.3829444699,163322.6816906947,30.032607412906685,646524.7584058677,0.0,0.0,0.0,0.0,11271.84994171346
2035-2040,17687.01923076923,28751.021752119013,0.0,20546.826923076926,0.02265043818319446,0.0,21415.288461538465,169725.7777865636,241269.32786695604,0.0,3863.6481481481514,14931.857142857141,12385.569207891313,191581.20511487167,243.00111348692553,1661.3997658829028,102729.03648218869,118338.33446165537,0.035396646511522585,1045242.8847978684,216839.51950636337,3838.0155705291195,818302.9524364714,0.0,0.0,0.0,0.0,11271.84994180902
2040-2045,12263.0,28751.02175520268,0.0,14245.799999999997,0.022677470758930517,0.0,17817.519999999993,169725.77777089612,241269.32758736706,0.0,2407.35,9954.57142857143,12385.569227633152,185551.1746310782,2351.9998814241317,1661.3998279521968,103335.51816737183,121112.77230847876,103844.66461161785,1562934.9638385372,246164.91372273065,45572.75569520416,1215748.754896824,0.0,0.0,0.0,0.0,10282.001008368665
2045-2050,3065.7500000000023,28751.021758046423,0.0,3561.4500000000035,0.022688589750044393,0.0,0.0,169725.7778414398,241269.32747103655,0.0,802.4500000000007,4977.2857142857165,12385.56924624077,241779.09215304608,2351.9999080404514,1661.3998900111321,106063.91208936859,125705.66116832227,253832.20482922808,1728919.7436477628,251656.97007037728,54777.05642146548,1506878.2417657692,0.0,0.0,0.0,0.0,10282.0010982423
2050-2055,0.0,28751.02176341192,0.0,0.0,0.022757761502504942,0.0,0.0,170116.67026796567,239308.34832244588,0.0,0.0,0.0,12385.569366122008,224974.23607446332,2351.9999082982226,1661.3997819496592,106070.57721252344,125705.66105781496,253832.20489962885,1667888.499448921,251656.97272536822,54882.35708354345,1583496.2219607243,0.0,0.0,0.0,0.0,10488.37588529339
2055-2060,0.0,28751.021789160972,0.0,0.0,0.023198639802586896,0.0,0.0,183024.95897240777,95527.37811710862,0.0,0.0,0.0,12385.569678155458,224974.23693119167,2351.9999091925624,1661.3996239094172,106070.57724796994,126487.21019361299,253832.20491681408,1566906.621783887,217936.01899588233,54882.33575767226,1521922.515044165,0.0,0.0,0.0,0.0,10488.375934952304
""
Period,genExpectedAnnualProduction_GWh
,Liginiteexisting,Lignite,LigniteCCSadv,Coalexisting,Coal,CoalCCSadv,Gasexisting,GasOCGT,GasCCGT,GasCCSadv,Oilexisting,Bioexisting,Bio10cofiring,Nuclear,Wave,Geo,Hydroregulated,Hydrorun-of-the-river,Bio,Windonshore,Windoffshoregrounded,Windoffshorefloating,Solar,Bio10cofiringCCS,LigniteCCSsup,CoalCCS,GasCCS,Waste
2020-2025,352128.79160198866,200996.8340800188,0.0,359509.24425147055,0.09415905718661095,0.0,187600.16264021356,0.008863034893043532,6642.447934543262,0.0,176.1782761366477,797.6538690637192,86538.12465624955,736867.4484420456,702.4644376262283,6566.503190039868,269464.16056421224,306053.4983981379,0.0032584486739103734,484521.22287959023,95535.44495134341,119.71067167960234,229252.37442930034,0.0,0.0,0.0,0.0,93768.01035368658
2025-2030,223338.22019641113,197692.66079502352,0.0,246868.99045487345,0.10366360730628993,0.0,116380.567679175,1597.2956902054532,545782.8007005012,0.0,182.99486188356326,3449.91079363331,80703.61901453632,530500.6615741235,702.464461735386,9232.506061432661,257092.3637659765,335888.98746822117,0.00488884747113391,1432508.0423430062,95083.50797006987,106.93544929502491,380969.28140469635,0.0,0.0,0.0,0.0,92285.28732754802
2030-2035,136517.93872343402,180769.531424745,0.0,135248.2458609981,0.0892906064110471,0.0,51395.80557134111,10659.897716557152,559290.5931389905,0.0,41.732641214334286,2489.615185570659,67563.66999595331,385739.6145477154,702.4647746476151,10701.906266358757,240159.59530958068,363238.5413891234,0.007800317540703822,1875248.7355562989,674013.2803223358,88.72020668488003,794655.688673929,0.0,0.0,0.0,0.0,87093.85009119804
2035-2040,4624.789494114678,77579.1291236772,0.0,6945.252329454519,0.01676682300843942,0.0,10360.488437852578,9601.614833471362,553500.3631657861,0.0,48.31582326648517,21816.739771556517,28233.98170697837,1059550.6117991398,702.4634082630927,10983.05915377127,238609.9937156647,362989.81688652124,0.05237179767815015,2288919.0194941843,867763.958796321,15196.839009710091,1066873.1017419356,0.0,0.0,0.0,0.0,61812.000026974725
2040-2045,10.392265094326838,2.5447340379581553,0.0,18.872462929811977,0.002761374127996947,0.0,1199.2610094722556,1472.6191249681908,155903.85756712916,0.0,0.0008607184040224351,17381.554058975915,1168.7646478884064,820052.2049350659,6798.978947333164,9494.029677623072,244397.98422141667,359528.66868177283,218912.9118119763,3118062.5139361727,772828.7011779065,176403.79696765833,1461711.8202634822,0.0,0.0,0.0,0.0,27099.994954756028
2045-2050,2.3066678252610715,7.35103548939406,0.0,11.612197796928196,0.003194169613480145,0.0,0.0,1140.8828223249434,136455.2747801027,0.0,0.0009744047824126437,5358.652821083105,23.276768466789935,963631.8995003222,6798.9263072079275,9226.857630747787,240755.6388482731,358015.48769765865,288908.78566944314,3143098.814735066,873615.5011973454,185895.61782749288,1844025.0435457686,0.0,0.0,0.0,0.0,19649.683124211213
2050-2055,0.0,0.001791798044545643,0.0,0.0,0.004504491684825018,0.0,0.0,588.3372470816086,46561.49446443723,0.0,0.0,0.0,27.748296366187898,1079770.8123791015,6798.8523290594785,9491.303910598768,242184.34154847928,361804.3712289581,353447.4401314432,2955448.440756216,790361.359275409,181527.9055295216,2009570.527425194,0.0,0.0,0.0,0.0,42773.18851689114
2055-2060,0.0,187.3301863188293,0.0,0.0,0.004909473624046133,0.0,0.0,3106.875683442873,28367.86722980245,0.0,0.0,0.0,386.656576604903,911546.7527361749,6787.098825612672,9644.00682334069,221347.23331587936,377725.34354730527,285283.855039794,3446453.1451501925,769443.2047050126,194794.25613098207,1801407.6639158211,0.0,0.0,0.0,0.0,26419.766068454468
""
Period,storPWInstalledCap_MW
,HydroPumpStorage,Li-Ion_BESS
2020-2025,58564.00004274342,0.018275722857902542
2025-2030,59040.56905569502,11791.236617189876
2030-2035,65850.59222069843,13298.78564456991
2035-2040,71903.81276060526,106779.22218569904
2040-2045,71903.81288281128,197697.94351864175
2045-2050,71903.8129266857,318314.04432747635
2050-2055,72138.91236517337,411162.31478476175
2055-2060,72120.54553240183,407869.3896260302
""
Period,storENInstalledCap_MW
,HydroPumpStorage,Li-Ion_BESS
2020-2025,2601010.795634633,0.036551445715805084
2025-2030,2601075.7047843994,23582.47323437975
2030-2035,2606614.7070780257,26597.57128913982
2035-2040,2616916.976016259,213558.44437139807
2040-2045,2616916.9775702828,395395.8870372835
2045-2050,2616985.2564903647,636628.0886549527
2050-2055,2616985.2566096033,822324.6295695235
2055-2060,2616985.2556189704,815738.7792520605
""
Period,storExpectedAnnualDischarge_GWh
,HydroPumpStorage,Li-Ion_BESS
2020-2025,31078.554854208982,0.053546557837462976
2025-2030,46691.247629457466,8125.181911085433
2030-2035,91755.187393345,11303.515468680083
2035-2040,114978.34318951574,71670.31049713034
2040-2045,125907.44605807474,138019.60371613558
2045-2050,131569.1069706451,221137.72486927194
2050-2055,131104.4492189505,273249.6317483013
2055-2060,131264.38180858866,275920.1391129392
