Node,Period,New capacity [MW],Total capacity [MW],New capacity [kg/h],Total capacity [kg/h],Expected annual power usage [MWh],Expected annual hydrogen production [kg],Expected marginal price of hydrogen [EUR/kg]
Austria,2020-2025,8.002434909105164e-05,8.002434909105164e-05,0.0014549881652918483,0.0014549881652918483,0.25018078483100414,4.548741542381894,0.0
Austria,2025-2030,4.719882821690188e-05,0.00012721596156185848,0.0008990252993695595,0.002423161172606828,0.5256897647662979,10.013138376500914,0.0
Austria,2030-2035,0.00019745617835583275,0.00032466492412867507,0.0037610700639206236,0.006184093792927144,1.447277342099811,27.56718746856783,3.820497956074988
Austria,2035-2040,1.3371910865880574e-05,0.00033802961931456545,0.00028151391296590687,0.007116413038201378,0.9133244674250582,19.22788352473807,2.3503574687883027
Austria,2040-2045,0.0007916865370407519,0.0010496863936565316,0.01666708499033162,0.022098660919084877,2.4192282864783863,50.9311218205976,1.5213199303760903
Austria,2045-2050,0.0010203581152982914,0.0020228456783773527,0.02148122347996403,0.04258622480794427,6.3404939642219516,133.48408345730425,1.5421389685419116
Austria,2050-2055,7.677413784571276e-07,0.0018261572389187126,1.6162976388571108e-05,0.03844541555618343,6.133818296188317,129.1330167618593,1.2830762661773953
Austria,2055-2060,4.960260219501074e-07,0.001813281354542466,1.0442653093686471e-05,0.03817434430615718,6.4836284126482955,136.4974402662799,1.2362727982810626
BosniaH,2020-2025,7.964376656407107e-05,7.964376656407107e-05,0.0014480684829831106,0.0014480684829831106,0.24568974260429738,4.467086229169043,0.0
BosniaH,2025-2030,5.296997449693009e-05,0.00013260652534787434,0.0010089518951796209,0.0025258385780547493,0.5452552336064003,10.385813973455244,0.0
BosniaH,2030-2035,0.0002193872731456249,0.00035198658272478134,0.004178805202773808,0.006704506337614883,1.5515059378195304,29.55249405370534,0.0
BosniaH,2035-2040,2.1725898906911467e-05,0.0003737052658868419,0.0004573873454086625,0.007867479281828252,1.0144293167133658,21.356406667649807,0.0
BosniaH,2040-2045,0.001080331152506267,0.0013743872339402746,0.022743813736974046,0.028934468082953153,3.9494306812654085,83.14590907927176,0.0
BosniaH,2045-2050,0.0015337317146929842,0.002855148974106482,0.03228908873037862,0.06010839945487331,10.25860505271391,215.97063268871392,0.0
BosniaH,2050-2055,5.263680265319753e-06,0.0026410253930821397,0.00011081432137515271,0.05560053459120295,11.4365141967009,240.76871993054525,0.0
BosniaH,2055-2060,5.383677003609784e-07,0.00261983785543606,1.133405684970481e-05,0.05515448116707495,11.583997842788593,243.8736387955493,0.0
Belgium,2020-2025,7.737326787529824e-05,7.737326787529824e-05,0.0014067866886417863,0.0014067866886417863,0.24651970187132904,4.482176397660528,0.0
Belgium,2025-2030,5.7333147542684004e-05,0.00013469919967980191,0.001092059953193981,0.0025656990415200364,0.5337575875586417,10.166811191593174,0.0
Belgium,2030-2035,0.0002491508791687189,0.0003838428631310346,0.004745731031785122,0.007311292631067326,1.9111873041049845,36.403567697237804,3.820497967487825
Belgium,2035-2040,2.011588185111848e-06,0.0003858472356585513,4.234922494972312e-05,0.008123099698074765,1.3406773528829017,28.22478637648214,2.350357479252911
Belgium,2040-2045,0.0018543063160983873,0.002162776692088239,0.03903802770733447,0.0455321408860682,7.480262355455456,157.47920748327275,1.5213199321987863
Belgium,2045-2050,4.3983112153318324e-07,0.002105883382892197,9.259602558593332e-06,0.04433438700825678,7.231733660689463,152.24702443556765,1.5421389702197401
Belgium,2050-2055,0.0020034003221005682,0.0038601328134415937,0.04217684888632776,0.08126595396719145,15.86932909535884,334.0911388496598,1.283076267609317
Belgium,2055-2060,1.4456897765928248e-06,0.0038595669184554294,3.043557424405947e-05,0.08125404038853536,16.69810911641865,351.5391392930242,1.236272799644082
Bulgaria,2020-2025,9.967865209207011e-05,9.967865209207011e-05,0.0018123391289467294,0.0018123391289467294,0.43476690808817714,7.904852874330493,0.0
Bulgaria,2025-2030,90.10748244796845,90.10758081865491,1716.3329990089228,1716.334872736284,788263.8442046174,15014549.413421284,0.0
Bulgaria,2030-2035,3.7106363787418714e-05,90.10761921865453,0.0007067878816651184,1716.3356041648483,508614.04056415346,9687886.486936256,3.8990321270111696
Bulgaria,2035-2040,2.2455257035998544e-06,90.10762189584769,4.727422533894431e-05,1897.0025662283724,344714.94995701674,7257156.841200353,2.4177407685026493
Bulgaria,2040-2045,1433.013378583221,1523.1209006417002,30168.70270701518,32065.703171404217,5495139.953185501,115687156.90916844,1.5009736463492254
Bulgaria,2045-2050,4.12333003635851e-06,1433.0134220331522,8.680694813386338e-05,30168.703621750574,5807119.408268065,122255145.43722242,1.5316122086236468
Bulgaria,2050-2055,2447.504727198545,3880.518112131867,51526.41530944306,81695.11815014457,16596583.869180504,349401765.666958,1.2579046332912522
Bulgaria,2055-2060,4.80862214475393e-07,3880.5181108505144,1.0123415041587222e-05,81695.11812316874,17407931.203413818,366482762.177133,1.2072543059730814
Switzerland,2020-2025,8.087356632519937e-05,8.087356632519937e-05,0.0014704284786399885,0.0014704284786399885,0.25650134315362694,4.663660784611399,0.0
Switzerland,2025-2030,5.531111504546304e-05,0.0001361774656478315,0.0010535450484850102,0.002593856488530124,0.5754455949417988,10.960868475081883,0.0
Switzerland,2030-2035,0.0002539255111761693,0.00039009576103298346,0.0048366764033556066,0.007430395448247304,1.8854162167643889,35.91268984313122,0.0
Switzerland,2035-2040,1.2178610965698953e-06,0.00039130640657145175,2.563918098041885e-05,0.008238029612030564,1.3130128991295513,27.642376823780026,0.0
