Period,genInstalledCap_MW
,Liginiteexisting,Lignite,LigniteCCSadv,Coalexisting,Coal,CoalCCSadv,Gasexisting,GasOCGT,GasCCGT,GasCCSadv,Oilexisting,Bioexisting,Bio10cofiring,Nuclear,Wave,Geo,Hydroregulated,Hydrorun-of-the-river,Bio,Windonshore,Windoffshoregrounded,Windoffshorefloating,Solar,Bio10cofiringCCS,LigniteCCSsup,CoalCCS,GasCCS,Waste,HydrogenOCGT,HydrogenCCGT
Initial,61315.0,0.0,0.0,71229.0,0.0,0.0,222718.99999999997,0.0,0.0,0.0,16049.0,34841.0,0.0,117634.0,243.0,937.0,98787.0,66582.0,0.0,190579.875,23904.559999999998,30.0,153954.0,0.0,0.0,0.0,0.0,10282.0,0.0,0.0
2020-2025,61315.0,33367.86095061624,0.0,71229.0,0.036079164193944,0.0,222718.99999999997,0.01810653452132323,190.67920494260662,0.0,16049.0,34841.0,13427.75709733165,117634.0018873246,243.00015690969974,937.0014376586294,98787.00063148927,80030.43102426587,0.003970749056157132,241776.61866892042,23904.564705027184,30.007603712202783,199677.43259813575,0.0,0.0,0.0,0.0,11271.849832123095,0.0,0.0
2025-2030,37732.307692307695,33367.861022224366,0.0,43833.23076923077,0.03774099913717975,0.0,152048.5480769231,1150.6463675379073,94476.88399059107,0.0,8916.111111111117,24886.428571428572,13427.76300681449,84024.28961488868,243.00015702009333,937.0029393774577,98787.00065523987,95811.60918178922,0.00409951655495739,581871.8697027065,23904.5647412543,30.014475106473164,378810.39366150566,0.0,0.0,0.0,0.0,11271.849866360328,0.0,0.0
2030-2035,25351.39423076923,33367.86154612224,0.0,29450.451923076922,0.03831055298092399,0.0,94227.26923076923,39281.1598517302,157394.88240032518,0.0,5349.666666666669,19909.14285714286,13427.763603896828,67219.43539120274,243.00107170921046,1661.3997061858997,99601.46272146956,105427.27158338476,0.00864076445309621,988788.5201806384,103882.21369772898,104864.36477457306,567754.2052432086,0.0,0.0,0.0,0.0,11271.84986757297,0.0,0.0
2035-2040,17687.01923076923,33367.86156465033,0.0,20546.826923076926,0.03837333966359388,0.0,21415.288461538465,100689.75611240476,159628.97622119272,0.0,3863.6481481481514,14931.857142857141,13427.763636963211,127193.8537096489,243.00107252478998,1661.3997072543973,99739.81185221464,114843.76232496799,20803.349498926742,1358281.695984875,195156.64736827926,115153.51448158825,812887.9253917865,0.0,0.0,0.0,0.0,11271.849869032467,0.0,0.0
2040-2045,12263.0,33367.86158065094,0.0,14245.799999999997,0.03840162666593559,0.0,17817.519999999993,100689.75618402808,159628.97628384808,0.0,2407.35,9954.57142857143,13427.763660134044,131943.2209953792,2351.999856498387,1661.3997532744336,100046.11576890647,116015.02594033249,109603.69254452364,1664303.3436621963,195156.64758383585,117310.60752305653,1419319.805876415,0.0,0.0,0.0,0.0,10556.201156482613,0.0,0.0
2045-2050,3065.7500000000023,33367.861609236286,0.0,3561.4500000000035,0.03845902614811561,0.0,0.0,100689.75627295017,159628.9763372088,0.0,802.4500000000007,4977.2857142857165,13427.763705202908,182015.78006997885,2351.9998870566064,1661.399774635674,101735.65449200576,116163.41735954891,124070.58359635495,2099432.920749987,199287.7884308406,149713.069780595,2047689.8043966894,0.0,0.0,0.0,0.0,10556.201123588658,0.0,0.0
2050-2055,0.0,33367.86161945464,0.0,0.0,0.03863770788524544,0.0,0.0,101409.93261656538,159438.2981071486,0.0,0.0,0.0,13427.76375939052,165210.92540285326,2351.9998897746636,1661.3996857794286,101735.65451040906,116163.41721729725,124070.58383251153,2132981.8469020594,199287.78859223527,149713.0952254203,2080167.5502356747,0.0,0.0,0.0,0.0,10556.201124985082,0.0,0.0
2055-2060,0.0,33367.86162120102,0.0,0.0,0.038646076610272355,0.0,0.0,108867.83353176447,68886.05309211646,0.0,0.0,0.0,13427.763764801339,165210.9254724222,2351.9998981183544,1661.3997589798757,102040.5608011682,116754.88285023917,171542.49317233852,2227878.925095834,180097.8491391814,153640.71770724677,1938134.0097739843,0.0,0.0,0.0,0.0,10556.201124895635,0.0,0.0
""
Period,genExpectedAnnualProduction_GWh
,Liginiteexisting,Lignite,LigniteCCSadv,Coalexisting,Coal,CoalCCSadv,Gasexisting,GasOCGT,GasCCGT,GasCCSadv,Oilexisting,Bioexisting,Bio10cofiring,Nuclear,Wave,Geo,Hydroregulated,Hydrorun-of-the-river,Bio,Windonshore,Windoffshoregrounded,Windoffshorefloating,Solar,Bio10cofiringCCS,LigniteCCSsup,CoalCCS,GasCCS,Waste,HydrogenOCGT,HydrogenCCGT
2020-2025,342619.7182132147,233017.9591359183,0.0,328980.0351511927,0.17568980455884226,0.0,141948.38982664357,0.011559314035943988,796.7021941104588,0.0,29.43263936458823,504.28209028009184,93825.31467314814,726634.2529254883,702.4643259598347,6566.503942978078,260828.471580934,301543.3508703247,0.004384774727419713,521747.1537879608,101418.44637960562,134.9472175272791,247724.31904882364,0.0,0.0,0.0,0.0,93746.77027231756,0.0,0.0
2025-2030,226999.54456049248,230629.99357509232,0.0,219648.59476568128,0.18326262550683783,0.0,165119.76514892688,146.87079955120353,432415.4470552006,0.0,58.325831519528364,1979.6651387635584,84875.24299079359,516988.1758936642,702.4631270607545,6482.395746178903,254066.89170842068,337728.2164905857,0.006450001025948709,1359537.8336518921,100713.39976958104,107.92450308766065,494237.36130745005,0.0,0.0,0.0,0.0,92264.63129235648,0.0,0.0
2030-2035,129385.53004539922,215923.33303915014,0.0,131955.9520729685,0.15921152472414565,0.0,46377.379277387365,1690.9185942472589,580396.2784936276,0.0,70.14775983536389,7826.521305670452,77925.93666412891,398866.7009916171,702.4640915345873,11032.297129596851,252067.14014054654,352499.475822453,0.011809919818306012,2134390.663771124,447686.83260806283,489465.2667783966,675291.6873387764,0.0,0.0,0.0,0.0,86043.95796900231,0.0,0.0
2035-2040,17353.144532579485,72918.99058462318,0.0,20790.72530688383,0.03740795589102264,0.0,12337.313736112903,4333.899678265491,496633.6767674608,0.0,52.85865116748094,26908.139205485768,27912.24957368276,678659.5529282726,702.4588705185176,10577.048901979944,234664.28221112886,364940.7926826691,60258.126485235414,2837628.361441562,731240.3552464413,464276.83887287485,1039635.0276472826,0.0,0.0,0.0,0.0,66137.28659099841,0.0,0.0
2040-2045,53.96557453448124,176.6958107364387,0.0,452.38570765367564,0.0065203362945371835,0.0,2011.1487127791697,2104.047279855195,157650.79073951038,0.0,1.708556031573308,15733.340656994822,230.20644836715294,626440.8920464241,6799.049514889909,10009.397313367841,230193.6022517642,365595.7628416461,277853.27960499335,4121333.4914714186,817356.5561018442,495831.1297832393,1617455.6832100677,0.0,0.0,0.0,0.0,24127.849269241724,0.0,0.0
2045-2050,3.1157190076863737,32.373004737594485,0.0,94.69835330400439,0.006194261973682913,0.0,0.0,1309.5518873162096,136618.73927177922,0.0,0.4867675051307089,7838.285364346645,55.93096530678023,951688.289330442,6799.062872941679,9947.289935498204,240657.243010605,357224.37327789987,273528.56063345814,3749131.5897938185,740289.5059987375,541413.1165928338,2560708.9892916447,0.0,0.0,0.0,0.0,19000.110198626902,0.0,0.0
2050-2055,0.0,70.92221368341957,0.0,0.0,0.008474871145557816,0.0,0.0,8547.91183847112,45856.09231495245,0.0,0.0,0.0,707.6470142360856,836341.0656106678,6798.964796518776,10082.026786414006,243463.09491762705,355697.8489033659,258034.6188927982,4576116.601357923,687411.1774000463,503879.1229238606,2609388.6804117057,0.0,0.0,0.0,0.0,32172.313298406312,0.0,0.0
2055-2060,0.0,189.3871350614998,0.0,0.0,0.005742560369160999,0.0,0.0,5070.268117122609,35159.22452217831,0.0,0.0,0.0,787.0049792199379,911257.0885128678,6798.946583175142,10221.109925981522,236238.36381029655,359716.0477490495,527807.3076232303,4508249.278791981,635471.5651510034,585800.6194140022,2310799.566475412,0.0,0.0,0.0,0.0,17387.920027399992,0.0,0.0
""
Period,storPWInstalledCap_MW
,HydroPumpStorage,Li-Ion_BESS
2020-2025,58564.00003781121,0.02834466680694172
2025-2030,58564.0000717822,0.061282883461818795
2030-2035,58744.39765120642,494.55211243294593
2035-2040,71189.37565835768,125310.770822086
2040-2045,71870.90138616468,362440.72027258546
2045-2050,71870.90143891779,943739.6550790706
2050-2055,71870.90146815997,818923.4137334013
2055-2060,71870.90131674713,581793.4410792422
""
Period,storENInstalledCap_MW
,HydroPumpStorage,Li-Ion_BESS
2020-2025,2601010.795609809,0.05668933361388344
2025-2030,2601010.795627391,0.12256576692363759
2030-2035,2601160.7143036975,989.1042248658919
2035-2040,2616557.1621630588,250621.541644172
2040-2045,2616557.163328179,724881.4405451709
2045-2050,2616623.446116373,1887479.3101581412
2050-2055,2616623.446249688,1637846.8274668027
2055-2060,2616623.446616964,1163586.8821584843
""
Period,storExpectedAnnualDischarge_GWh
,HydroPumpStorage,Li-Ion_BESS
2020-2025,39787.905282009255,0.07859740021976011
2025-2030,54995.4806007645,0.11477280687094572
2030-2035,72457.74611647562,336.523217524206
2035-2040,119254.80467095425,79155.4044480172
2040-2045,123491.50440445656,212533.9361337656
2045-2050,112272.28691614747,624382.5390155663
2050-2055,130146.04962140386,562381.83578781
2055-2060,116296.34076605058,385683.8392837242
