Node,RESGeneratorType,Period,ExpectedAnnualCurtailment_GWh
France,Hydrorun-of-the-river,2045-2050,18679.5024900401
France,Hydrorun-of-the-river,2050-2055,17025.989764633003
France,Hydrorun-of-the-river,2055-2060,0.042775033506352804
Greece,Hydrorun-of-the-river,2020-2025,0.000866937895686737
Greece,Hydrorun-of-the-river,2025-2030,0.001155668538075542
Greece,Hydrorun-of-the-river,2030-2035,85.69196786013872
Greece,Hydrorun-of-the-river,2035-2040,0.004946669297380112
Greece,Hydrorun-of-the-river,2040-2045,546.5570417689943
Greece,Hydrorun-of-the-river,2045-2050,0.021704010411424765
Greece,Hydrorun-of-the-river,2050-2055,340.43219767461585
Greece,Hydrorun-of-the-river,2055-2060,0.026503029226783617
Hungary,Hydrorun-of-the-river,2020-2025,0.0002299828935679386
Hungary,Hydrorun-of-the-river,2025-2030,54.94842758355657
Hungary,Hydrorun-of-the-river,2030-2035,66.63955968377347
Hungary,Hydrorun-of-the-river,2035-2040,92.63142927235828
Hungary,Hydrorun-of-the-river,2040-2045,361.27324452270665
Hungary,Hydrorun-of-the-river,2045-2050,472.8237828892335
Hungary,Hydrorun-of-the-river,2050-2055,609.3322010860032
Hungary,Hydrorun-of-the-river,2055-2060,333.1908027829229
Ireland,Hydrorun-of-the-river,2020-2025,0.00019056970361723189
Ireland,Hydrorun-of-the-river,2025-2030,2.5502922813366253
Ireland,Hydrorun-of-the-river,2030-2035,0.0041388041890534945
Ireland,Hydrorun-of-the-river,2035-2040,91.19547402397268
Ireland,Hydrorun-of-the-river,2040-2045,0.018360359508713415
Ireland,Hydrorun-of-the-river,2045-2050,154.9292017541654
Ireland,Hydrorun-of-the-river,2050-2055,0.03953711410586058
Ireland,Hydrorun-of-the-river,2055-2060,0.027993691509869058
Italy,Hydrorun-of-the-river,2020-2025,2694.2014229588867
Italy,Hydrorun-of-the-river,2025-2030,167.021356801583
Italy,Hydrorun-of-the-river,2030-2035,5073.309438715866
Italy,Hydrorun-of-the-river,2035-2040,0.001275890785541828
Italy,Hydrorun-of-the-river,2040-2045,12312.167024879003
Italy,Hydrorun-of-the-river,2045-2050,257.3743250430686
Italy,Hydrorun-of-the-river,2050-2055,617.132264847571
Italy,Hydrorun-of-the-river,2055-2060,538.8040020344956
Luxemb.,Hydrorun-of-the-river,2020-2025,0.0001263305996018082
Luxemb.,Hydrorun-of-the-river,2025-2030,1.7960048011143743
Luxemb.,Hydrorun-of-the-river,2030-2035,19.877019390853363
Luxemb.,Hydrorun-of-the-river,2035-2040,28.359310745044137
Luxemb.,Hydrorun-of-the-river,2040-2045,8.795537107839849
Luxemb.,Hydrorun-of-the-river,2045-2050,53.837100682885676
Luxemb.,Hydrorun-of-the-river,2050-2055,58.83448432433099
Luxemb.,Hydrorun-of-the-river,2055-2060,0.008716677656359922
Latvia,Hydrorun-of-the-river,2020-2025,0.00011631138886307524
Latvia,Hydrorun-of-the-river,2025-2030,661.2809188201093
Latvia,Hydrorun-of-the-river,2030-2035,0.001400670803009629
Latvia,Hydrorun-of-the-river,2035-2040,39.31524811395228
Latvia,Hydrorun-of-the-river,2040-2045,0.0062321727621933295
Latvia,Hydrorun-of-the-river,2045-2050,995.1515585472872
Latvia,Hydrorun-of-the-river,2050-2055,1797.4222496029
Latvia,Hydrorun-of-the-river,2055-2060,0.014324157330257124
Netherlands,Hydrorun-of-the-river,2020-2025,0.00011900781916237074
Netherlands,Hydrorun-of-the-river,2025-2030,0.3019045538172088
Netherlands,Hydrorun-of-the-river,2030-2035,0.006986178255961266
Netherlands,Hydrorun-of-the-river,2035-2040,113.11942044615672
Netherlands,Hydrorun-of-the-river,2040-2045,69.82922665356116
Netherlands,Hydrorun-of-the-river,2045-2050,244.98953108790917
Netherlands,Hydrorun-of-the-river,2050-2055,260.4330660376855
Netherlands,Hydrorun-of-the-river,2055-2060,220.18830082558395
Poland,Hydrorun-of-the-river,2020-2025,0.00020997720169020653
Poland,Hydrorun-of-the-river,2025-2030,516.834364842391
Poland,Hydrorun-of-the-river,2030-2035,999.5253612526994
Poland,Hydrorun-of-the-river,2035-2040,2318.633990142078
Poland,Hydrorun-of-the-river,2040-2045,2556.57735823803
