Node,RESGeneratorType,Period,ExpectedAnnualCurtailment_GWh
France,Hydrorun-of-the-river,2050-2055,15751.618258138451
France,Hydrorun-of-the-river,2055-2060,13892.767895364022
Greece,Hydrorun-of-the-river,2020-2025,0.0007273931970017708
Greece,Hydrorun-of-the-river,2025-2030,0.006822191028569483
Greece,Hydrorun-of-the-river,2030-2035,0.02203254793434458
Greece,Hydrorun-of-the-river,2035-2040,230.11822828223958
Greece,Hydrorun-of-the-river,2040-2045,57.46941876314208
Greece,Hydrorun-of-the-river,2045-2050,0.1678504550092956
Greece,Hydrorun-of-the-river,2050-2055,0.2793556619215403
Greece,Hydrorun-of-the-river,2055-2060,1.301478077278968
Hungary,Hydrorun-of-the-river,2020-2025,0.0010708898301823096
Hungary,Hydrorun-of-the-river,2025-2030,16.80413605847197
Hungary,Hydrorun-of-the-river,2030-2035,66.31592677202427
Hungary,Hydrorun-of-the-river,2035-2040,117.93230944312609
Hungary,Hydrorun-of-the-river,2040-2045,344.855661406109
Hungary,Hydrorun-of-the-river,2045-2050,331.9800696781697
Hungary,Hydrorun-of-the-river,2050-2055,487.6758933860999
Hungary,Hydrorun-of-the-river,2055-2060,553.4584744320442
Ireland,Hydrorun-of-the-river,2020-2025,0.0010664674626245177
Ireland,Hydrorun-of-the-river,2025-2030,0.007674526509445089
Ireland,Hydrorun-of-the-river,2030-2035,0.013511207310658874
Ireland,Hydrorun-of-the-river,2035-2040,31.667109575293285
Ireland,Hydrorun-of-the-river,2040-2045,0.09680077791956028
Ireland,Hydrorun-of-the-river,2045-2050,0.12709895198280738
Ireland,Hydrorun-of-the-river,2050-2055,0.09678139506917494
Ireland,Hydrorun-of-the-river,2055-2060,0.21682162380106687
Italy,Hydrorun-of-the-river,2020-2025,4845.550269421559
Italy,Hydrorun-of-the-river,2025-2030,6644.81771903611
Italy,Hydrorun-of-the-river,2030-2035,2278.725727239813
Italy,Hydrorun-of-the-river,2035-2040,5358.373119561026
Italy,Hydrorun-of-the-river,2040-2045,3936.767241712087
Italy,Hydrorun-of-the-river,2045-2050,4386.864421161095
Italy,Hydrorun-of-the-river,2050-2055,3220.7888507495136
Italy,Hydrorun-of-the-river,2055-2060,269.3762084623755
Luxemb.,Hydrorun-of-the-river,2020-2025,0.0010850150962273936
Luxemb.,Hydrorun-of-the-river,2025-2030,2.6217945437094783
Luxemb.,Hydrorun-of-the-river,2030-2035,24.711651321678378
Luxemb.,Hydrorun-of-the-river,2035-2040,64.5098054620441
Luxemb.,Hydrorun-of-the-river,2040-2045,13.74801572733929
Luxemb.,Hydrorun-of-the-river,2045-2050,0.03264629442395644
Luxemb.,Hydrorun-of-the-river,2050-2055,19.53563247830703
Luxemb.,Hydrorun-of-the-river,2055-2060,27.741397244053903
Latvia,Hydrorun-of-the-river,2020-2025,0.0005736296627335852
Latvia,Hydrorun-of-the-river,2025-2030,634.1432616262236
Latvia,Hydrorun-of-the-river,2030-2035,0.012896291577872976
Latvia,Hydrorun-of-the-river,2035-2040,0.007037339302030552
Latvia,Hydrorun-of-the-river,2040-2045,0.07838942501926909
Latvia,Hydrorun-of-the-river,2045-2050,0.06472901244704968
Latvia,Hydrorun-of-the-river,2050-2055,0.07459764549860147
Latvia,Hydrorun-of-the-river,2055-2060,109.85839892242001
Netherlands,Hydrorun-of-the-river,2020-2025,0.0009744474378945829
Netherlands,Hydrorun-of-the-river,2025-2030,0.0005780073860067065
Netherlands,Hydrorun-of-the-river,2030-2035,50.719915319108004
Netherlands,Hydrorun-of-the-river,2035-2040,58.84220888610427
Netherlands,Hydrorun-of-the-river,2040-2045,345.16854215001575
Netherlands,Hydrorun-of-the-river,2045-2050,243.7933617045418
Netherlands,Hydrorun-of-the-river,2050-2055,264.02408948274007
Netherlands,Hydrorun-of-the-river,2055-2060,509.10233373894835
Poland,Hydrorun-of-the-river,2020-2025,0.0011073495810487498
Poland,Hydrorun-of-the-river,2025-2030,209.85343988590955
Poland,Hydrorun-of-the-river,2030-2035,931.1305010511427
Poland,Hydrorun-of-the-river,2035-2040,1788.3015590950233
Poland,Hydrorun-of-the-river,2040-2045,3940.3830587747393
Poland,Hydrorun-of-the-river,2045-2050,3628.2541590809583
Poland,Hydrorun-of-the-river,2050-2055,4063.41600553053
Poland,Hydrorun-of-the-river,2055-2060,4154.017814323152
Portugal,Hydrorun-of-the-river,2020-2025,0.0019199569115334306
Portugal,Hydrorun-of-the-river,2025-2030,729.8297236966666
Portugal,Hydrorun-of-the-river,2030-2035,3135.025512261607
Portugal,Hydrorun-of-the-river,2035-2040,8057.251087967545
Portugal,Hydrorun-of-the-river,2040-2045,7061.498547831728
Portugal,Hydrorun-of-the-river,2045-2050,5896.770261979257
Portugal,Hydrorun-of-the-river,2050-2055,24719.580913096543
Portugal,Hydrorun-of-the-river,2055-2060,27741.95247582633
Romania,Hydrorun-of-the-river,2020-2025,0.0009378024284515928
Romania,Hydrorun-of-the-river,2025-2030,69.50798008408879
Romania,Hydrorun-of-the-river,2030-2035,2061.1474134814653
Romania,Hydrorun-of-the-river,2035-2040,2644.89355282412
Romania,Hydrorun-of-the-river,2040-2045,6421.038005039872
Romania,Hydrorun-of-the-river,2045-2050,2596.8947018447357
Romania,Hydrorun-of-the-river,2050-2055,5436.915212114318
Romania,Hydrorun-of-the-river,2055-2060,6488.256495282104
Sweden,Hydrorun-of-the-river,2020-2025,0.001177319098498369
Sweden,Hydrorun-of-the-river,2025-2030,45.2544850395688
Sweden,Hydrorun-of-the-river,2030-2035,722.5231406540364
Sweden,Hydrorun-of-the-river,2035-2040,6497.818832260347
Sweden,Hydrorun-of-the-river,2040-2045,4579.972692671096
Sweden,Hydrorun-of-the-river,2045-2050,12759.259297439912
Sweden,Hydrorun-of-the-river,2050-2055,8309.69224594246
Sweden,Hydrorun-of-the-river,2055-2060,1724.679604535978
Slovenia,Hydrorun-of-the-river,2020-2025,0.0010648300514110355
Slovenia,Hydrorun-of-the-river,2025-2030,326.27097798750464
Slovenia,Hydrorun-of-the-river,2030-2035,544.1204868675226
Slovenia,Hydrorun-of-the-river,2035-2040,2093.411364365947
Slovenia,Hydrorun-of-the-river,2040-2045,6927.997321491821
Slovenia,Hydrorun-of-the-river,2045-2050,7230.844986464425
Slovenia,Hydrorun-of-the-river,2050-2055,7918.843497777949
Slovenia,Hydrorun-of-the-river,2055-2060,7847.828749390909
NO1,Hydrorun-of-the-river,2020-2025,21.734951131997228
NO1,Hydrorun-of-the-river,2025-2030,688.0719711213255
NO1,Hydrorun-of-the-river,2030-2035,1380.7882118791144
NO1,Hydrorun-of-the-river,2035-2040,2184.219936207606
NO1,Hydrorun-of-the-river,2040-2045,0.10789398416335494
NO1,Hydrorun-of-the-river,2045-2050,1214.3785772151416
NO1,Hydrorun-of-the-river,2050-2055,0.19462924658430678
NO1,Hydrorun-of-the-river,2055-2060,0.2316056304643938
NO2,Hydrorun-of-the-river,2020-2025,507.4249618742
NO2,Hydrorun-of-the-river,2025-2030,2155.71936642197
NO2,Hydrorun-of-the-river,2030-2035,5519.0567986031565
NO2,Hydrorun-of-the-river,2035-2040,8708.898303338192
