Node,Period,Converter invested capacity [MW],Converter total capacity [MW]
EnergyhubEU,2020-2025,0.0841855944944266,0.0841855944944266
EnergyhubEU,2025-2030,3.91365265100021e-06,0.08418933533847493
EnergyhubEU,2030-2035,24234.279140847873,24234.363330347165
EnergyhubEU,2035-2040,11871.422944121716,36105.78627402426
EnergyhubEU,2040-2045,11204.902302307664,47310.688576880326
EnergyhubEU,2045-2050,2.3445673163419077e-05,47310.68860093671
EnergyhubEU,2050-2055,1.946540298556009e-05,47310.68861327006
EnergyhubEU,2055-2060,5.519314296597601e-06,47310.68862456985
EnergyhubNorth,2020-2025,0.06362714140377988,0.06362714140377988
EnergyhubNorth,2025-2030,3.3283763247333593e-06,0.06363029697153026
EnergyhubNorth,2030-2035,2062.210766387506,2062.274396512586
EnergyhubNorth,2035-2040,13420.847732542266,15483.122128759504
EnergyhubNorth,2040-2045,29169.012872913416,44652.13500167081
EnergyhubNorth,2045-2050,6751.87768285328,51404.01268460764
EnergyhubNorth,2050-2055,7797.238480175947,59201.251158171835
EnergyhubNorth,2055-2060,5.42418598769866e-06,59201.25117054406
EnergyhubCentral,2020-2025,0.09502121891517824,0.09502121891517824
EnergyhubCentral,2025-2030,4.010720131353913e-06,0.0950250568268864
EnergyhubCentral,2030-2035,41863.00197201373,41863.09699651778
EnergyhubCentral,2035-2040,488.4727299136396,42351.56972850648
EnergyhubCentral,2040-2045,20178.261485798645,62529.831212009114
EnergyhubCentral,2045-2050,2.5434968331374677e-05,62529.83123878015
EnergyhubCentral,2050-2055,0.0005201791598786214,62529.83175199494
EnergyhubCentral,2055-2060,5.395770054953666e-06,62529.83176257908
