BetweenNode,AndNode,Period,transmissionInvCap_MW,transmissionInstalledCap_MW,DiscountedInvestmentCost_EuroPerMW,transmissionExpectedAnnualVolume_GWh,ExpectedAnnualLosses_GWh
Switzerland,Austria,2020-2025,0.0,1200.0,0.0,1690.391766284062,50.711752988521745
Switzerland,Austria,2025-2030,0.0,1200.0,0.0,3914.509171370038,117.43527514110123
Switzerland,Austria,2030-2035,407.9829360570641,1607.982936057064,97677671.70480518,6583.505739493957,197.505172184819
Switzerland,Austria,2035-2040,592.0168338293818,2199.999769872158,101819345.58171509,9905.726781399582,297.17180344198823
Switzerland,Austria,2040-2045,1000.0001328503109,3199.9999030699305,119155015.08625643,16822.137947724357,504.66413843173336
Switzerland,Austria,2045-2050,2.5518443805661567e-07,3199.999902745523,0.019843027201094564,14760.988776371507,442.8296632911449
Switzerland,Austria,2050-2055,3.197780486689131e-07,3199.9999026713467,0.014493982666049246,14528.629735080078,435.8588920524032
Switzerland,Austria,2055-2060,1.005186124781603e-06,3199.999904245652,0.020015184323601182,16592.273962297662,497.76821886893106
CzechR,Austria,2020-2025,0.0,900.0,0.0,4600.1505414689855,138.0045162440697
CzechR,Austria,2025-2030,0.0,900.0,0.0,3356.3076744079467,100.68923023223856
CzechR,Austria,2030-2035,999.9998816260381,1899.9998816260381,87917380.60173531,8301.166753250829,249.03500259752488
CzechR,Austria,2035-2040,6.506125983043164e-05,1899.9999466730364,4.109038456183763,8159.111293627916,244.77333880883845
CzechR,Austria,2040-2045,4.1097901552993274e-07,1899.999947069753,0.01798263823774251,7893.82477454076,236.81474323622294
CzechR,Austria,2045-2050,7.997575595937126e-06,1899.9999550530667,0.22836712642169735,11105.550785174277,333.1665235552288
CzechR,Austria,2050-2055,1.8122353814900802e-07,1899.9999552200277,0.0030163045308233623,7812.191369827117,234.3657410948138
CzechR,Austria,2055-2060,6.444941267587477e-07,1899.99995585026,0.004712523887145934,11118.739147102151,333.5621744130659
Germany,Austria,2020-2025,0.0,5000.0,0.0,15102.3192909826,453.06957872947925
Germany,Austria,2025-2030,1999.9990129537973,6999.999012953797,891259.5147735586,18243.39256778714,547.3017770336153
Germany,Austria,2030-2035,500.0009464727383,7499.999967037226,149745.6139602125,33220.57734702874,996.6173204108624
Germany,Austria,2035-2040,2.3994013545897076e-06,7499.999961789571,0.0005162132284557953,36135.96049405534,1084.078814821662
Germany,Austria,2040-2045,699.9999830294998,8199.999944381934,104337.46532490761,40931.157775446314,1227.934733263396
Germany,Austria,2045-2050,1.01883130664657e-06,8199.999945696662,9.91028188044193e-05,38190.33111246095,1145.7099333738277
Germany,Austria,2050-2055,9.415453841555151e-08,8199.999945993137,5.338390420943191e-06,31077.22913346231,932.3168740038716
Germany,Austria,2055-2060,1.7760930509051813e-07,8199.999946048549,4.423935722944124e-06,39798.13542218595,1193.9440626655798
Hungary,Austria,2020-2025,0.0,800.0,0.0,3666.40921850687,109.99227655520592
Hungary,Austria,2025-2030,0.0,800.0,0.0,4132.181129075642,123.96543387226932
Hungary,Austria,2030-2035,1999.9999041390624,2799.9999041390624,149305052.04697615,10571.712177999716,317.15136533998964
Hungary,Austria,2035-2040,5.333113223022198e-05,2799.9999574559333,2.860014782222578,14534.605132001914,436.03815396005626
