Node,RESGeneratorType,Period,ExpectedAnnualCurtailment_GWh
Austria,Hydrorun-of-the-river,2020-2025,0.00023195337749114402
Austria,Hydrorun-of-the-river,2025-2030,1783.275422719729
Austria,Hydrorun-of-the-river,2030-2035,7696.693204337183
Austria,Hydrorun-of-the-river,2035-2040,16484.37293860911
Austria,Hydrorun-of-the-river,2040-2045,12237.817581725067
Austria,Hydrorun-of-the-river,2045-2050,7376.652606261679
Austria,Hydrorun-of-the-river,2050-2055,15172.300151505653
Austria,Hydrorun-of-the-river,2055-2060,4954.947291958453
Belgium,Hydrorun-of-the-river,2020-2025,139.7124576462463
Belgium,Hydrorun-of-the-river,2025-2030,101.38444507937338
Belgium,Hydrorun-of-the-river,2030-2035,137.38512746750553
Belgium,Hydrorun-of-the-river,2035-2040,200.92649409829886
Belgium,Hydrorun-of-the-river,2040-2045,597.628326073977
Belgium,Hydrorun-of-the-river,2045-2050,714.6571697047223
Belgium,Hydrorun-of-the-river,2050-2055,700.0241298673091
Belgium,Hydrorun-of-the-river,2055-2060,718.3882418278821
Bulgaria,Hydrorun-of-the-river,2020-2025,1542.5044798437573
Bulgaria,Hydrorun-of-the-river,2025-2030,3141.387249502067
Bulgaria,Hydrorun-of-the-river,2030-2035,2604.600099640034
Bulgaria,Hydrorun-of-the-river,2035-2040,4576.11416244084
Bulgaria,Hydrorun-of-the-river,2040-2045,4461.771990254842
Bulgaria,Hydrorun-of-the-river,2045-2050,5753.225505484393
Bulgaria,Hydrorun-of-the-river,2050-2055,4998.373784408256
Bulgaria,Hydrorun-of-the-river,2055-2060,5030.849153666783
Switzerland,Hydrorun-of-the-river,2020-2025,0.00021671142963556624
Switzerland,Hydrorun-of-the-river,2025-2030,7.520374519303714
Switzerland,Hydrorun-of-the-river,2030-2035,0.0019079848095247644
Switzerland,Hydrorun-of-the-river,2035-2040,0.0022297008327003755
Switzerland,Hydrorun-of-the-river,2040-2045,111.64961169380042
Switzerland,Hydrorun-of-the-river,2045-2050,301.50282766676344
Switzerland,Hydrorun-of-the-river,2050-2055,8.60276322908753
Switzerland,Hydrorun-of-the-river,2055-2060,27.4368222027825
CzechR,Hydrorun-of-the-river,2020-2025,0.00024388732581589906
CzechR,Hydrorun-of-the-river,2025-2030,97.49978845284926
CzechR,Hydrorun-of-the-river,2030-2035,338.9555580038094
CzechR,Hydrorun-of-the-river,2035-2040,492.23577492692107
