Node,RESGeneratorType,Period,ExpectedAnnualCurtailment_GWh
France,Hydrorun-of-the-river,2050-2055,13939.097048888649
France,Hydrorun-of-the-river,2055-2060,6988.613729608183
Greece,Hydrorun-of-the-river,2020-2025,0.0012237821529261848
Greece,Hydrorun-of-the-river,2025-2030,0.02405617723295553
Greece,Hydrorun-of-the-river,2030-2035,0.05222537301440875
Greece,Hydrorun-of-the-river,2035-2040,1387.309324642097
Greece,Hydrorun-of-the-river,2040-2045,0.1956109055873319
Greece,Hydrorun-of-the-river,2045-2050,203.34223309788013
Greece,Hydrorun-of-the-river,2050-2055,130.3815717980311
Greece,Hydrorun-of-the-river,2055-2060,741.7212374441975
Hungary,Hydrorun-of-the-river,2020-2025,0.002492319728710241
Hungary,Hydrorun-of-the-river,2025-2030,14.716578686069775
Hungary,Hydrorun-of-the-river,2030-2035,79.16209780117356
Hungary,Hydrorun-of-the-river,2035-2040,143.52818553498665
Hungary,Hydrorun-of-the-river,2040-2045,433.7926065095518
Hungary,Hydrorun-of-the-river,2045-2050,457.9935881207393
Hungary,Hydrorun-of-the-river,2050-2055,569.031094354801
Hungary,Hydrorun-of-the-river,2055-2060,484.0927898036343
Ireland,Hydrorun-of-the-river,2020-2025,0.0010344252165548113
Ireland,Hydrorun-of-the-river,2025-2030,189.30305082169977
Ireland,Hydrorun-of-the-river,2030-2035,0.04690475364886594
Ireland,Hydrorun-of-the-river,2035-2040,0.054803905273014146
Ireland,Hydrorun-of-the-river,2040-2045,0.16829850753535536
Ireland,Hydrorun-of-the-river,2045-2050,0.15198817003253093
Ireland,Hydrorun-of-the-river,2050-2055,0.17563117162525776
Ireland,Hydrorun-of-the-river,2055-2060,0.3330725518386536
Italy,Hydrorun-of-the-river,2020-2025,1972.541491945831
Italy,Hydrorun-of-the-river,2025-2030,4389.592786025152
Italy,Hydrorun-of-the-river,2030-2035,5479.94147607206
Italy,Hydrorun-of-the-river,2035-2040,21.164899396842713
Italy,Hydrorun-of-the-river,2040-2045,4691.628838233683
Italy,Hydrorun-of-the-river,2045-2050,6496.149853876644
Italy,Hydrorun-of-the-river,2050-2055,4126.415078525122
Italy,Hydrorun-of-the-river,2055-2060,2651.280398071765
Luxemb.,Hydrorun-of-the-river,2020-2025,0.0015482989367425729
Luxemb.,Hydrorun-of-the-river,2025-2030,6.906442336745968
Luxemb.,Hydrorun-of-the-river,2030-2035,6.833662006938689
Luxemb.,Hydrorun-of-the-river,2035-2040,58.36262639656571
Luxemb.,Hydrorun-of-the-river,2040-2045,12.028793873355108
Luxemb.,Hydrorun-of-the-river,2045-2050,0.03913390606610814
Luxemb.,Hydrorun-of-the-river,2050-2055,64.67018994624752
Luxemb.,Hydrorun-of-the-river,2055-2060,4.2792280311096516
Latvia,Hydrorun-of-the-river,2020-2025,279.44070084451835
Latvia,Hydrorun-of-the-river,2025-2030,0.007546478512160797
Latvia,Hydrorun-of-the-river,2030-2035,0.01821718578576994
Latvia,Hydrorun-of-the-river,2035-2040,914.6693095211606
Latvia,Hydrorun-of-the-river,2040-2045,0.04132354875623842
Latvia,Hydrorun-of-the-river,2045-2050,0.09588532105455792
Latvia,Hydrorun-of-the-river,2050-2055,0.16319505700842926
Latvia,Hydrorun-of-the-river,2055-2060,0.2803658440008672
Netherlands,Hydrorun-of-the-river,2020-2025,0.0016007651603643079
Netherlands,Hydrorun-of-the-river,2025-2030,0.0008853008629998234
Netherlands,Hydrorun-of-the-river,2030-2035,0.01904493824823254
Netherlands,Hydrorun-of-the-river,2035-2040,61.10009571887955
Netherlands,Hydrorun-of-the-river,2040-2045,328.2350263261133
Netherlands,Hydrorun-of-the-river,2045-2050,179.92527434054998
Netherlands,Hydrorun-of-the-river,2050-2055,252.85519134798227
Netherlands,Hydrorun-of-the-river,2055-2060,359.72213265629074
Poland,Hydrorun-of-the-river,2020-2025,0.001752175465914153
Poland,Hydrorun-of-the-river,2025-2030,1035.000488175165
Poland,Hydrorun-of-the-river,2030-2035,963.8872178501869
Poland,Hydrorun-of-the-river,2035-2040,1389.3600428160214
Poland,Hydrorun-of-the-river,2040-2045,3018.6439434790136
Poland,Hydrorun-of-the-river,2045-2050,3507.8237689483335
Poland,Hydrorun-of-the-river,2050-2055,3229.6545487719213
Poland,Hydrorun-of-the-river,2055-2060,3827.1255880792787
Portugal,Hydrorun-of-the-river,2020-2025,0.00136409613816574
Portugal,Hydrorun-of-the-river,2025-2030,0.012349578829086195
Portugal,Hydrorun-of-the-river,2030-2035,0.055953855240892865
Portugal,Hydrorun-of-the-river,2035-2040,0.09501128605614442
Portugal,Hydrorun-of-the-river,2040-2045,0.21443585544051666
Portugal,Hydrorun-of-the-river,2045-2050,0.27918017969733444
Portugal,Hydrorun-of-the-river,2050-2055,16924.057023839738
Portugal,Hydrorun-of-the-river,2055-2060,19248.301426814163
Romania,Hydrorun-of-the-river,2020-2025,0.0014422395486748806
Romania,Hydrorun-of-the-river,2025-2030,185.20918023720384
Romania,Hydrorun-of-the-river,2030-2035,632.8175249115615
