Node,RESGeneratorType,Period,ExpectedAnnualCurtailment_GWh
France,Hydrorun-of-the-river,2050-2055,14481.780838078377
France,Hydrorun-of-the-river,2055-2060,12569.386535005937
Greece,Hydrorun-of-the-river,2020-2025,0.000651652894925865
Greece,Hydrorun-of-the-river,2025-2030,0.012550620197197474
Greece,Hydrorun-of-the-river,2030-2035,0.0316460174854474
Greece,Hydrorun-of-the-river,2035-2040,0.049799030172826844
Greece,Hydrorun-of-the-river,2040-2045,0.16217609913268466
Greece,Hydrorun-of-the-river,2045-2050,1282.3480377578892
Greece,Hydrorun-of-the-river,2050-2055,434.126651007494
Greece,Hydrorun-of-the-river,2055-2060,0.31889890176052627
Hungary,Hydrorun-of-the-river,2020-2025,0.001140463984828432
Hungary,Hydrorun-of-the-river,2025-2030,8.325300730396107
Hungary,Hydrorun-of-the-river,2030-2035,60.94604832660202
Hungary,Hydrorun-of-the-river,2035-2040,169.8042823696541
Hungary,Hydrorun-of-the-river,2040-2045,376.1313556047908
Hungary,Hydrorun-of-the-river,2045-2050,384.13217361196075
Hungary,Hydrorun-of-the-river,2050-2055,430.2768725209192
Hungary,Hydrorun-of-the-river,2055-2060,493.35922916471117
Ireland,Hydrorun-of-the-river,2020-2025,13.43733939437352
Ireland,Hydrorun-of-the-river,2025-2030,0.011838264642998612
Ireland,Hydrorun-of-the-river,2030-2035,0.024298336096692016
Ireland,Hydrorun-of-the-river,2035-2040,0.032856760883916175
Ireland,Hydrorun-of-the-river,2040-2045,0.08359640387130729
Ireland,Hydrorun-of-the-river,2045-2050,0.10725024910635748
Ireland,Hydrorun-of-the-river,2050-2055,16.661024055683985
Ireland,Hydrorun-of-the-river,2055-2060,0.16918780253759488
Italy,Hydrorun-of-the-river,2020-2025,4256.751918886583
Italy,Hydrorun-of-the-river,2025-2030,6317.702914939892
Italy,Hydrorun-of-the-river,2030-2035,1230.5646821671771
Italy,Hydrorun-of-the-river,2035-2040,0.009530782327810607
Italy,Hydrorun-of-the-river,2040-2045,2510.7397499151516
Italy,Hydrorun-of-the-river,2045-2050,628.7002711601064
Italy,Hydrorun-of-the-river,2050-2055,2524.4505124428474
Italy,Hydrorun-of-the-river,2055-2060,3637.964588899499
Luxemb.,Hydrorun-of-the-river,2020-2025,0.001158061878253437
Luxemb.,Hydrorun-of-the-river,2025-2030,0.09431849067165025
Luxemb.,Hydrorun-of-the-river,2030-2035,15.57064335336262
Luxemb.,Hydrorun-of-the-river,2035-2040,0.006213499042733064
Luxemb.,Hydrorun-of-the-river,2040-2045,37.58557083445734
Luxemb.,Hydrorun-of-the-river,2045-2050,0.0354054383507561
