Node,RESGeneratorType,Period,ExpectedAnnualCurtailment_GWh
Austria,Hydrorun-of-the-river,2020-2025,0.002390172917146968
Austria,Hydrorun-of-the-river,2025-2030,1124.0293841958014
Austria,Hydrorun-of-the-river,2030-2035,7475.571519670927
Austria,Hydrorun-of-the-river,2035-2040,11165.218302528136
Austria,Hydrorun-of-the-river,2040-2045,12982.186225761961
Austria,Hydrorun-of-the-river,2045-2050,19676.52261726664
Austria,Hydrorun-of-the-river,2050-2055,12467.6637413901
Austria,Hydrorun-of-the-river,2055-2060,15075.799999563304
Belgium,Hydrorun-of-the-river,2020-2025,288.56397507664144
Belgium,Hydrorun-of-the-river,2025-2030,123.96871471196063
Belgium,Hydrorun-of-the-river,2030-2035,251.69995873193173
Belgium,Hydrorun-of-the-river,2035-2040,414.1165200162262
Belgium,Hydrorun-of-the-river,2040-2045,503.8230716615189
Belgium,Hydrorun-of-the-river,2045-2050,691.3118471815237
Belgium,Hydrorun-of-the-river,2050-2055,393.43486925938777
Belgium,Hydrorun-of-the-river,2055-2060,633.7994783044963
Bulgaria,Hydrorun-of-the-river,2020-2025,2275.415457211093
Bulgaria,Hydrorun-of-the-river,2025-2030,3683.148894606721
Bulgaria,Hydrorun-of-the-river,2030-2035,5379.6475578512
Bulgaria,Hydrorun-of-the-river,2035-2040,4490.906422212172
Bulgaria,Hydrorun-of-the-river,2040-2045,2432.8103689913364
Bulgaria,Hydrorun-of-the-river,2045-2050,4652.370463998051
Bulgaria,Hydrorun-of-the-river,2050-2055,4764.1554625242115
Bulgaria,Hydrorun-of-the-river,2055-2060,4964.807369497473
Switzerland,Hydrorun-of-the-river,2020-2025,0.001940382879592282
Switzerland,Hydrorun-of-the-river,2025-2030,0.0025381376830263397
Switzerland,Hydrorun-of-the-river,2030-2035,0.006907981185476211
Switzerland,Hydrorun-of-the-river,2035-2040,35.83993285443604
Switzerland,Hydrorun-of-the-river,2040-2045,136.49201033405762
Switzerland,Hydrorun-of-the-river,2045-2050,266.9680197874691
Switzerland,Hydrorun-of-the-river,2050-2055,63.39077397171714
Switzerland,Hydrorun-of-the-river,2055-2060,11.37762413407586
CzechR,Hydrorun-of-the-river,2020-2025,150.2295424840372
CzechR,Hydrorun-of-the-river,2025-2030,6.662920978624387
CzechR,Hydrorun-of-the-river,2030-2035,172.39224976929714
CzechR,Hydrorun-of-the-river,2035-2040,638.7851685754896
CzechR,Hydrorun-of-the-river,2040-2045,74.30681947639633
CzechR,Hydrorun-of-the-river,2045-2050,391.37528138599697
CzechR,Hydrorun-of-the-river,2050-2055,126.26576856969683
CzechR,Hydrorun-of-the-river,2055-2060,418.4315814146199
Germany,Hydrorun-of-the-river,2020-2025,0.0021407954152031826
Germany,Hydrorun-of-the-river,2025-2030,0.0013656206260199584
Germany,Hydrorun-of-the-river,2030-2035,0.005346238162376
Germany,Hydrorun-of-the-river,2035-2040,55.04883494475199
Germany,Hydrorun-of-the-river,2040-2045,367.88906697722877
Germany,Hydrorun-of-the-river,2045-2050,2016.2678531776817
Germany,Hydrorun-of-the-river,2050-2055,1195.4365715671227
Germany,Hydrorun-of-the-river,2055-2060,821.5576370893813
Denmark,Hydrorun-of-the-river,2020-2025,0.0020522142909303446
Denmark,Hydrorun-of-the-river,2025-2030,0.0049472848467051675
Denmark,Hydrorun-of-the-river,2030-2035,0.01805854488367798
Denmark,Hydrorun-of-the-river,2035-2040,0.04162828113843626
Denmark,Hydrorun-of-the-river,2040-2045,0.10904585581280443
Denmark,Hydrorun-of-the-river,2045-2050,0.09494446072022658
Denmark,Hydrorun-of-the-river,2050-2055,0.11715452559077462
Denmark,Hydrorun-of-the-river,2055-2060,0.1598080239779157
Estonia,Hydrorun-of-the-river,2020-2025,0.003425128537768644
Estonia,Hydrorun-of-the-river,2025-2030,5.2186225079266295
Estonia,Hydrorun-of-the-river,2030-2035,12.048488119413026
Estonia,Hydrorun-of-the-river,2035-2040,14.965369912779003
Estonia,Hydrorun-of-the-river,2040-2045,24.044405319128064
Estonia,Hydrorun-of-the-river,2045-2050,31.490574415110412
Estonia,Hydrorun-of-the-river,2050-2055,32.221431218273715
Estonia,Hydrorun-of-the-river,2055-2060,25.326747104182232
Spain,Hydrorun-of-the-river,2020-2025,0.002695047540471888
Spain,Hydrorun-of-the-river,2025-2030,3097.0827245594596
Spain,Hydrorun-of-the-river,2030-2035,11355.194294559964
Spain,Hydrorun-of-the-river,2035-2040,10652.42986136918
Spain,Hydrorun-of-the-river,2040-2045,2234.1450056893405
Spain,Hydrorun-of-the-river,2045-2050,16158.484692631679
Spain,Hydrorun-of-the-river,2050-2055,11702.017629470718
Spain,Hydrorun-of-the-river,2055-2060,19740.055148135598
Finland,Hydrorun-of-the-river,2020-2025,935.6074809662672
Finland,Hydrorun-of-the-river,2025-2030,359.0796694677824
Finland,Hydrorun-of-the-river,2030-2035,1023.8202219423697
Finland,Hydrorun-of-the-river,2035-2040,2414.438103082466
Finland,Hydrorun-of-the-river,2040-2045,0.10261291929195744
Finland,Hydrorun-of-the-river,2045-2050,297.5681617735206
Finland,Hydrorun-of-the-river,2050-2055,659.7902384536459
Finland,Hydrorun-of-the-river,2055-2060,14.921248356632457
France,Hydrorun-of-the-river,2020-2025,0.0035647593988761533
France,Hydrorun-of-the-river,2025-2030,4707.118639903925
France,Hydrorun-of-the-river,2030-2035,24683.938678138642
France,Hydrorun-of-the-river,2035-2040,14846.047936853534
France,Hydrorun-of-the-river,2040-2045,1572.6243951339516
France,Hydrorun-of-the-river,2045-2050,15521.511238291023
France,Hydrorun-of-the-river,2050-2055,15582.433858321569
France,Hydrorun-of-the-river,2055-2060,16643.235643056614
Greece,Hydrorun-of-the-river,2020-2025,0.001400396067087151
Greece,Hydrorun-of-the-river,2025-2030,0.012293577136102553
Greece,Hydrorun-of-the-river,2030-2035,0.04800679286521517
Greece,Hydrorun-of-the-river,2035-2040,0.06847913276103178
Greece,Hydrorun-of-the-river,2040-2045,0.1372453645167315
Greece,Hydrorun-of-the-river,2045-2050,628.8679208756138
Greece,Hydrorun-of-the-river,2050-2055,87.92642594017119
Greece,Hydrorun-of-the-river,2055-2060,47.75013368209711
Hungary,Hydrorun-of-the-river,2020-2025,0.0015535225042199406
Hungary,Hydrorun-of-the-river,2025-2030,63.30124531353387
Hungary,Hydrorun-of-the-river,2030-2035,39.30916261536108
Hungary,Hydrorun-of-the-river,2035-2040,155.34525075538156
Hungary,Hydrorun-of-the-river,2040-2045,340.18916464715033
Hungary,Hydrorun-of-the-river,2045-2050,484.712959365564
