Node,RESGeneratorType,Period,ExpectedAnnualCurtailment_GWh
Austria,Hydrorun-of-the-river,2020-2025,0.00026698033723281746
Austria,Hydrorun-of-the-river,2025-2030,1473.4371634777183
Austria,Hydrorun-of-the-river,2030-2035,8127.591767280918
Austria,Hydrorun-of-the-river,2035-2040,11911.43923296942
Austria,Hydrorun-of-the-river,2040-2045,9021.430047233442
Austria,Hydrorun-of-the-river,2045-2050,4276.337653125656
Austria,Hydrorun-of-the-river,2050-2055,9808.429519354071
Austria,Hydrorun-of-the-river,2055-2060,13483.224452442695
Belgium,Hydrorun-of-the-river,2020-2025,197.69330202852183
Belgium,Hydrorun-of-the-river,2025-2030,223.02359313633707
Belgium,Hydrorun-of-the-river,2030-2035,0.0016193347680407448
Belgium,Hydrorun-of-the-river,2035-2040,265.93497989160653
Belgium,Hydrorun-of-the-river,2040-2045,540.5095067465958
Belgium,Hydrorun-of-the-river,2045-2050,352.7481791093134
Belgium,Hydrorun-of-the-river,2050-2055,778.3014419715579
Belgium,Hydrorun-of-the-river,2055-2060,857.2420097877821
Bulgaria,Hydrorun-of-the-river,2020-2025,2064.4798298819887
Bulgaria,Hydrorun-of-the-river,2025-2030,2775.179307213035
Bulgaria,Hydrorun-of-the-river,2030-2035,3442.9174285018216
Bulgaria,Hydrorun-of-the-river,2035-2040,4172.130745799493
Bulgaria,Hydrorun-of-the-river,2040-2045,3470.0037738939295
Bulgaria,Hydrorun-of-the-river,2045-2050,3371.2657915406107
Bulgaria,Hydrorun-of-the-river,2050-2055,3881.733627285626
Bulgaria,Hydrorun-of-the-river,2055-2060,3601.8755236525135
Switzerland,Hydrorun-of-the-river,2020-2025,0.00020882205722677136
Switzerland,Hydrorun-of-the-river,2025-2030,0.00016536560900374484
Switzerland,Hydrorun-of-the-river,2030-2035,0.0013722425270724441
Switzerland,Hydrorun-of-the-river,2035-2040,0.0008603599252917573
Switzerland,Hydrorun-of-the-river,2040-2045,12.32217931415646
Switzerland,Hydrorun-of-the-river,2045-2050,16.009237442813507
Switzerland,Hydrorun-of-the-river,2050-2055,54.01973151587504
Switzerland,Hydrorun-of-the-river,2055-2060,278.07666651165385
CzechR,Hydrorun-of-the-river,2020-2025,373.9665151183568
CzechR,Hydrorun-of-the-river,2025-2030,164.99835483262467
CzechR,Hydrorun-of-the-river,2030-2035,181.78393731877603
CzechR,Hydrorun-of-the-river,2035-2040,232.666323564273
CzechR,Hydrorun-of-the-river,2040-2045,104.93231930278027
CzechR,Hydrorun-of-the-river,2045-2050,433.3177197400167
